policy_tenure,age_of_car,age_of_policyholder,population_density,gross_weight,ncap_rating,is_claim
0.051084349712886,0.02,0.403846153846154,5410,1185,0,1
0.220932495155893,0.0,0.423076923076923,21622,1340,2,1
0.624559442106143,0.15,0.317307692307692,27003,1185,0,1
0.471991343765125,0.01,0.384615384615385,6112,1185,0,1
0.635233747737131,0.01,0.769230769230769,34791,1185,0,1
0.225360673520791,0.03,0.317307692307692,6112,1185,0,1
1.00638173392949,0.1,0.634615384615385,7788,1720,3,1
1.16075193277271,0.03,0.490384615384615,7788,1720,3,1
0.759762988676833,0.02,0.317307692307692,4076,1185,0,1
0.73127558358129,0.1,0.432692307692308,8794,1335,2,1
1.23306392442893,0.15,0.509615384615385,27003,1490,5,1
1.04401948369345,0.06,0.692307692307692,27003,1335,2,1
0.558450362338131,0.03,0.5,4076,1185,0,1
1.0064918435614,0.07,0.423076923076923,8794,1155,2,1
0.171752917600786,0.07,0.403846153846154,27003,1335,2,1
1.09585958356269,0.03,0.480769230769231,27003,1185,0,1
0.830534196618971,0.02,0.682692307692308,27003,1490,5,1
1.1242386420487,0.11,0.519230769230769,7788,1720,3,1
0.568688426368612,0.08,0.346153846153846,27003,1720,3,1
0.412186711179697,0.12,0.528846153846154,5410,1720,3,1
0.104339350765335,0.04,0.336538461538461,73430,1155,2,1
1.10581426206128,0.12,0.346153846153846,65567,1335,2,1
0.596047787379488,0.03,0.836538461538462,8794,1335,2,1
0.059757932941765,0.0,0.336538461538461,17804,1185,0,1
0.02144404150452,0.0,0.557692307692308,73430,1185,0,1
0.743061384784785,0.0,0.432692307692308,4076,1185,0,1
1.24191457923367,0.01,0.432692307692308,27003,1720,3,1
1.23064927383472,0.11,0.509615384615385,4076,1051,4,1
0.24942582825256,0.19,0.480769230769231,4990,1720,3,1
0.852117670820999,0.1,0.288461538461538,7788,1335,2,1
0.849343879384389,0.12,0.375,8794,1335,2,1
0.211282924656084,0.06,0.365384615384615,8794,1410,0,1
0.47431476837378,0.02,0.375,8794,1720,3,1
1.20905518889852,0.22,0.509615384615385,8794,1335,2,1
0.36533846395609,0.05,0.394230769230769,5410,1720,3,1
0.506048361520578,0.1,0.375,8794,1720,3,1
1.17651304479389,0.02,0.413461538461538,34791,1720,3,1
1.24027925026271,0.01,0.509615384615385,27742,1335,2,1
1.22620967238475,0.01,0.307692307692308,27003,1720,3,1
1.16360405415886,0.12,0.471153846153846,27003,1335,2,1
0.047597599469253,0.03,0.519230769230769,13051,1185,0,1
0.097021832501516,0.0,0.461538461538462,4076,1185,0,1
1.02100216659636,0.13,0.528846153846154,7788,1335,2,1
1.12188224710844,0.13,0.5,34738,1720,3,1
0.852409140930304,0.06,0.442307692307692,8794,1335,2,1
0.869106472974549,0.15,0.798076923076923,8794,1335,2,1
0.269986352407649,0.1,0.413461538461538,8794,1410,0,1
1.23773859200618,0.07,0.701923076923077,8794,1720,3,1
0.476768179397508,0.11,0.413461538461538,8794,1720,3,1
0.506004222290704,0.02,0.480769230769231,73430,1185,0,1
0.868744042014977,0.08,0.346153846153846,8794,1335,2,1
0.800363506878835,0.2,0.451923076923077,8794,1720,3,1
0.658319863203443,0.14,0.586538461538462,6112,1720,3,1
0.602614443421338,0.09,0.365384615384615,8794,1335,2,1
1.01057295500362,0.08,0.451923076923077,27742,1340,2,1
1.1271203543493,0.13,0.644230769230769,8794,1720,3,1
1.13921082405497,0.02,0.490384615384615,8794,1335,2,1
1.09194656932357,0.12,0.490384615384615,27003,1335,2,1
0.447165510291593,0.09,0.471153846153846,27003,1720,3,1
1.00610563219192,0.05,0.480769230769231,21622,1335,2,1
0.964385569886832,0.09,0.653846153846154,27003,1185,0,1
1.22058360385713,0.11,0.567307692307692,7788,1720,3,1
0.386119106300655,0.02,0.346153846153846,34738,1185,0,1
1.03228547685391,0.06,0.384615384615385,7788,1340,2,1
1.15872417058445,0.02,0.701923076923077,8794,1335,2,1
1.16287729378474,0.02,0.673076923076923,17804,1510,0,1
1.09733601446163,0.01,0.548076923076923,17804,1340,2,1
1.14887432852971,0.04,0.673076923076923,7788,1335,2,1
0.633606227972745,0.01,0.365384615384615,34738,1185,0,1
1.11560621585025,0.16,0.461538461538462,27003,1335,2,1
1.20071799239154,0.04,0.461538461538462,8794,1720,3,1
0.148582028058162,0.0,0.298076923076923,4076,1185,0,1
0.819271433558107,0.0,0.298076923076923,34738,1185,0,1
0.52964776280882,0.09,0.403846153846154,17804,1720,3,1
1.10190734290592,0.05,0.807692307692308,34738,1335,2,1
0.520647497854969,0.06,0.432692307692308,5410,1720,3,1
0.38351983153983,0.1,0.317307692307692,13051,1185,0,1
1.00487851837873,0.01,0.336538461538461,5410,1340,2,1
0.563777386770045,0.0,0.576923076923077,4076,1185,0,1
1.06995518748108,0.04,0.615384615384615,7788,1185,0,1
0.375379330138665,0.0,0.471153846153846,6108,1185,0,1
