policy_tenure,age_of_car,age_of_policyholder,population_density,max_torque,max_power,airbags,displacement,cylinder,gear_box,turning_radius,length,width,height,gross_weight,ncap_rating,is_claim
0.97188321879209,0.15,0.298076923076923,8794,687500.0,453800.0,6,1493,4,6,5.2,4300,1790,1635,1720,3,1
1.0618090851888,0.05,0.403846153846154,8794,687500.0,453800.0,6,1493,4,6,5.2,4300,1790,1635,1720,3,1
0.959466348706392,0.0,0.375,13051,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
0.744018191573578,0.02,0.644230769230769,4076,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
1.20935350855602,0.09,0.442307692307692,5410,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
1.01288199392998,0.03,0.653846153846154,17804,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
1.19261246886579,0.15,0.586538461538462,27003,687500.0,453800.0,6,1493,4,6,5.2,4300,1790,1635,1720,3,1
0.732654506568654,0.0,0.673076923076923,4990,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
0.971773727477849,0.11,0.413461538461538,5410,687500.0,453800.0,6,1493,4,6,5.2,4300,1790,1635,1720,3,1
1.0144352753764,0.02,0.548076923076923,7788,279140.0,296376.0,2,998,3,5,4.7,3655,1620,1675,1340,2,1
0.565028267559665,0.0,0.413461538461538,27003,386750.0,368830.0,2,999,3,5,5.0,3731,1579,1490,1155,2,1
0.991171581302109,0.03,0.519230769230769,3264,600000.0,355080.0,2,1497,4,5,5.0,3990,1755,1523,1490,5,1
1.03537040020398,0.13,0.548076923076923,27003,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
0.573070426006385,0.08,0.461538461538462,34738,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
0.809905825347777,0.01,0.442307692307692,27003,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
0.098221062159129,0.0,0.615384615384615,8794,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
0.801333270609756,0.01,0.5,4076,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
0.839834660248732,0.1,0.365384615384615,27003,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
0.084613892891837,0.0,0.557692307692308,27003,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
0.433113401078044,0.06,0.394230769230769,8794,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
0.888724167367985,0.1,0.451923076923077,8794,497200.0,531000.0,2,1197,4,5,4.8,3995,1735,1515,1335,2,1
1.03245776829189,0.05,0.375,8794,350000.0,352404.0,2,1498,4,5,4.9,3995,1695,1501,1051,4,1
1.2386785470516,0.16,0.480769230769231,5410,497200.0,531000.0,6,1197,4,5,4.85,3990,1745,1500,1410,0,1
0.276585146778309,0.12,0.586538461538462,7788,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
0.915130704753165,0.06,0.730769230769231,4076,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
0.020811431850311,0.0,0.461538461538462,21622,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
0.802022196081055,0.1,0.480769230769231,4076,687500.0,453800.0,6,1493,4,6,5.2,4300,1790,1635,1720,3,1
1.04602723185082,0.08,0.298076923076923,34738,600000.0,355080.0,2,1497,4,5,5.0,3990,1755,1523,1490,5,1
0.897806173903649,0.14,0.528846153846154,8794,497200.0,531000.0,2,1197,4,5,4.8,3845,1735,1530,1335,2,1
1.08092710564755,0.05,0.721153846153846,4076,687500.0,453800.0,6,1493,4,6,5.2,4300,1790,1635,1720,3,1
0.60364741604141,0.11,0.634615384615385,5410,497200.0,531000.0,6,1197,4,5,4.85,3990,1745,1500,1410,0,1
0.610338379144629,0.0,0.615384615384615,73430,210000.0,242160.0,2,796,3,5,4.6,3445,1515,1475,1185,0,1
