policy_tenure,age_of_car,age_of_policyholder,population_density,make,max_power,airbags,cylinder,transmission_type,gear_box,width,height,gross_weight,ncap_rating,is_claim
1.01857319676453,0.04,0.413461538461538,73430,1,242160.0,2,3,1,5,1515,1475,1185,0,1
0.270750757312145,0.16,0.596153846153846,8794,3,453800.0,6,4,0,6,1790,1635,1720,3,1
0.124437706388862,0.07,0.5,27742,1,531000.0,2,4,1,5,1735,1530,1335,2,1
1.10821849164019,0.04,0.442307692307692,7788,3,453800.0,6,4,0,6,1790,1635,1720,3,1
1.17732636707995,0.23,0.461538461538462,3264,3,453800.0,6,4,0,6,1790,1635,1720,3,1
1.23769140300028,0.06,0.605769230769231,4076,1,531000.0,6,4,0,5,1745,1500,1410,0,1
1.23796081836018,0.12,0.442307692307692,27003,1,531000.0,2,4,1,5,1735,1530,1335,2,1
0.378635815499619,0.02,0.384615384615385,7788,3,453800.0,6,4,0,6,1790,1635,1720,3,1
0.072288573713953,0.0,0.336538461538461,4076,1,242160.0,2,3,1,5,1515,1475,1185,0,1
1.02292823265231,0.08,0.413461538461538,27003,3,453800.0,6,4,0,6,1790,1635,1720,3,1
1.03333725878319,0.03,0.394230769230769,34791,1,531000.0,2,4,1,5,1735,1530,1335,2,1
0.17860599104719,0.03,0.432692307692308,17804,1,531000.0,2,4,0,5,1735,1515,1335,2,1
1.03403016730478,0.15,0.519230769230769,4076,4,355080.0,2,4,1,5,1755,1523,1490,5,1
0.846066438184279,0.14,0.778846153846154,8794,3,453800.0,6,4,0,6,1790,1635,1720,3,1
1.13880649937419,0.05,0.442307692307692,27003,1,531000.0,2,4,1,5,1735,1530,1335,2,1
1.02278988656756,0.01,0.442307692307692,5410,1,296376.0,2,3,1,5,1620,1675,1340,2,1
0.817126776566268,0.02,0.605769230769231,27742,1,296376.0,2,3,1,5,1620,1675,1340,2,1
1.02582112803624,0.04,0.442307692307692,8794,1,531000.0,2,4,1,5,1735,1530,1335,2,1
0.893432946575956,0.01,0.432692307692308,4076,1,242160.0,2,3,1,5,1515,1475,1185,0,1
1.07143605121103,0.13,0.509615384615385,7788,3,453800.0,6,4,0,6,1790,1635,1720,3,1
0.557130092139987,0.02,0.528846153846154,27003,1,242160.0,2,3,1,5,1515,1475,1185,0,1
0.589362744009325,0.02,0.557692307692308,34738,1,242160.0,2,3,1,5,1515,1475,1185,0,1
1.12225625127039,0.07,0.336538461538461,8794,1,531000.0,6,4,0,5,1745,1500,1410,0,1
0.89592539757235,0.09,0.326923076923077,8794,3,453800.0,6,4,0,6,1790,1635,1720,3,1
